Source,Publication Date,Title,finbert_compound,finbert_positive,finbert_negative,finbert_neutral
BBC,2023-11-21,Bank of England governor says don't underestimate inflation,-0.02277831733226776,0.024311820045113564,0.047090135514736176,0.9285979866981506
BBC,2023-11-20,Rishi Sunak: 'We've halved inflation' and other claims checked,0.49428966641426086,0.6906711459159851,0.19638153910636902,0.11294722557067871
BBC,2023-11-16,Rachel Reeves: Labour would increase benefits in line with September inflation,-0.1818465292453766,0.06847181916236877,0.25031834840774536,0.6812098026275635
BBC,2023-11-15,What a falling inflation rate means for your finances,0.09405632317066193,0.1330655962228775,0.039009276777505875,0.8279251456260681
BBC,2023-11-15,Why inflation is falling but prices are still rising,0.024270033463835716,0.03957873582839966,0.015308705158531666,0.9451125264167786
BBC,2023-11-15,England's flood defence plans reduced 'due to inflation',0.24972161650657654,0.34871697425842285,0.09899535030126572,0.5522876977920532
BBC,2023-11-15,Inflation slows to 4.6% as government says pledge met,-0.059901513159275055,0.043043166399002075,0.10294467955827713,0.8540121912956238
BBC,2023-11-15,What is the UK inflation rate and how does it affect me?,0.045950997620821,0.07562267035245895,0.029671672731637955,0.8947056531906128
BBC,2023-10-27,UK inflation rate calculator: How much are prices rising for you?,-0.0644761174917221,0.03648311272263527,0.10095923393964767,0.8625576496124268
BBC,2023-11-14,Inflation falls to 4.6% as government says pledge met early,0.006469998508691788,0.02136947773396969,0.0148994792252779,0.963731050491333
BBC,2023-11-14,US inflation eases as lower gas prices offset rent rise,-0.12313033640384674,0.029644906520843506,0.15277524292469025,0.8175798654556274
BBC,2023-10-25,Russia hikes interest rates to 15% as inflation soars,-0.0033830106258392334,0.03584936261177063,0.03923237323760986,0.9249182343482971
BBC,2023-10-26,Cheshire East budget black hole blamed on inflation and care costs,0.019665397703647614,0.03968092054128647,0.020015522837638855,0.9403035640716553
BBC,2023-10-22,Rate of inflation in Guernsey slows to 7%,0.012163795530796051,0.03090542182326317,0.018741626292467117,0.9503529667854309
BBC,2023-10-18,"Tax cuts will be considered if inflation falls, cabinet minister says",-0.012671378441154957,0.04873174801468849,0.061403125524520874,0.8898651003837585
BBC,2023-10-17,Annual inflation rate falls in Jersey,0.006571533158421516,0.0174066461622715,0.010835113003849983,0.971758246421814
BBC,2023-10-12,"Inflation: Milk, cheese and egg prices fall as petrol rises",-0.5683311223983765,0.03399874269962311,0.6023298501968384,0.3636714220046997
BBC,2023-10-17,Wages overtake inflation for first time in nearly two years,0.011240340769290924,0.023117540404200554,0.011877200566232204,0.9650052189826965
BBC,2023-10-11,The Great Inflation,0.16656184196472168,0.24685761332511902,0.08029577881097794,0.6728466153144836
BBC,2023-10-20,US inflation: Higher fuel costs keep driving consumer prices,-0.03868114575743675,0.046663153916597366,0.08534429967403412,0.8679925203323364
BBC,2023-09-20,Stormont budget 'to fall by £2.3bn in real terms' due to inflation,0.1566382199525833,0.24749204516410828,0.09085382521152496,0.6616541147232056
BBC,2023-09-19,Sunak: Tackling inflation our 'most important priority',-0.000779448077082634,0.024624519050121307,0.02540396712720394,0.9499715566635132
